ポケモンタイプのみ強さランキング

単タイプのみでのランキング
Final Type Rankings:
124   Ice/Steel            0.005599
125   Poison/Dragon        0.005597
126   Ice/Fairy            0.005572
127   Flying/Psychic       0.005569
128   Bug/Fairy            0.005567
129   Fire/Poison          0.005566
130   Ice/Dragon           0.005552
131   Fighting             0.005538
132   Poison/Rock          0.005502
133   Electric/Rock        0.005495
134   Fighting/Bug         0.005488
135   Fighting/Dragon      0.005482
136   Psychic/Bug          0.005477
137   Normal/Bug           0.005450
138   Grass/Flying         0.005450
139   Poison/Bug           0.005447
140   Bug/Dark             0.005438
141   Ice/Rock             0.005438
142   Ice                  0.005424
143   Rock                 0.005418
144   Flying/Dragon        0.005374
145   Normal               0.005372
146   Ice/Dark             0.005362
147   Dark                 0.005362
148   Grass/Fairy          0.005360
149   Rock/Dark            0.005355
150   Grass/Fighting       0.005344
151   Poison               0.005323
152   Bug/Dragon           0.005322
153   Psychic/Ghost        0.005305
154   Flying/Bug           0.005268
155   Psychic/Dragon       0.005268
156   Psychic              0.005246
157   Grass/Ice            0.005245
158   Normal/Ice           0.005242
159   Normal/Rock          0.005218
160   Normal/Dragon        0.005194
161   Dragon               0.005172
162   Ice/Bug              0.005157
163   Normal/Dark          0.005153
164   Normal/Grass         0.005129
165   Bug                  0.005089
166   Grass/Dark           0.005048
167   Grass/Psychic        0.005048
168   Dragon/Dark          0.005045
169   Grass/Dragon         0.004980
170   Grass                0.004818
171   Grass/Bug            0.004686

攻撃重視ランキング
1. Ice/Ground: 0.006952
2. Fire/Ground: 0.006923
3. Ground/Fairy: 0.006918
4. Ground/Flying: 0.006903
5. Ground/Steel: 0.006890
6. Flying/Steel: 0.006664
7. Steel/Fairy: 0.006624
8. Water/Ground: 0.006596
9. Poison/Ground: 0.006584
10. Fighting/Steel: 0.006572
11. Fire/Water: 0.006570
12. Water/Fairy: 0.006569
13. Electric/Ground: 0.006537
14. Ground/Bug: 0.006528
15. Fire/Fighting: 0.006517
16. Ground/Ghost: 0.006497
17. Fighting/Ghost: 0.006496
18. Fire/Fairy: 0.006471
19. Ice/Fighting: 0.006458
20. Fighting/Flying: 0.006456
21. Water/Steel: 0.006455
22. Fighting/Rock: 0.006454
23. Fighting/Ground: 0.006450
24. Ground/Rock: 0.006428
25. Fighting/Psychic: 0.006390
26. Fire/Grass: 0.006384
27. Ghost/Fairy: 0.006378
28. Grass/Rock: 0.006319
29. Electric/Fighting: 0.006317
30. Water/Flying: 0.006315
31. Ground/Dark: 0.006313
32. Water/Fighting: 0.006306
33. Electric/Fairy: 0.006299
34. Ghost/Steel: 0.006288
35. Water/Ice: 0.006287
36. Water/Poison: 0.006271
37. Water/Electric: 0.006258
38. Electric/Flying: 0.006249
39. Ground/Psychic: 0.006237
40. Dragon/Steel: 0.006232
41. Fighting/Fairy: 0.006231
42. Bug/Rock: 0.006220
43. Water/Bug: 0.006204
44. Ground/Dragon: 0.006199
45. Poison/Dark: 0.006196
46. Flying/Rock: 0.006193
47. Rock/Fairy: 0.006189
48. Water/Ghost: 0.006182
49. Fire/Dragon: 0.006181
50. Dark/Fairy: 0.006180
51. Normal/Ground: 0.006180
52. Fire/Ghost: 0.006174
53. Water/Dragon: 0.006163
54. Water/Rock: 0.006155
55. Fighting/Dark: 0.006141
56. Fire/Dark: 0.006127
57. Fire/Ice: 0.006109
58. Fire/Steel: 0.006095
59. Fire/Psychic: 0.006093
60. Electric/Ice: 0.006080
61. Ice/Ghost: 0.006064
62. Rock/Ghost: 0.006063
63. Grass/Ground: 0.006053
64. Bug/Steel: 0.006014
65. Psychic/Steel: 0.006005
66. Flying/Dark: 0.005992
67. Fire/Electric: 0.005989
68. Electric/Bug: 0.005970
69. Fire/Rock: 0.005970
70. Fire/Flying: 0.005943
71. Dark/Steel: 0.005943
72. Electric/Ghost: 0.005942
73. Water/Dark: 0.005937
74. Fighting/Poison: 0.005935
75. Ice/Rock: 0.005932
76. Water/Psychic: 0.005928
77. Flying/Ghost: 0.005926
78. Normal/Ghost: 0.005925
79. Psychic/Rock: 0.005913
80. Rock/Steel: 0.005892
81. Electric/Steel: 0.005889
82. Grass/Steel: 0.005880
83. Ground: 0.005876
84. Psychic/Fairy: 0.005875
85. Flying/Fairy: 0.005870
86. Poison/Fairy: 0.005852
87. Ice/Flying: 0.005850
88. Water/Grass: 0.005843
89. Ice/Steel: 0.005832
90. Ghost/Dark: 0.005810
91. Fire/Bug: 0.005810
92. Ice/Psychic: 0.005806
93. Ice/Fairy: 0.005786
94. Normal/Water: 0.005779
95. Normal/Fairy: 0.005755
96. Ice/Poison: 0.005744
97. Poison/Ghost: 0.005733
98. Rock/Dragon: 0.005726
99. Normal/Fire: 0.005722
100. Poison/Steel: 0.005710
101. Grass/Ghost: 0.005703
102. Electric/Dark: 0.005678
103. Fighting/Dragon: 0.005674
104. Grass/Flying: 0.005671
105. Electric/Psychic: 0.005663
106. Fire/Poison: 0.005651
107. Poison/Rock: 0.005646
108. Poison/Psychic: 0.005645
109. Normal/Fighting: 0.005644
110. Bug/Ghost: 0.005642
111. Electric/Rock: 0.005642
112. Water: 0.005641
113. Fighting/Bug: 0.005641
114. Rock/Dark: 0.005638
115. Ice/Dark: 0.005632
116. Psychic/Dark: 0.005606
117. Poison/Flying: 0.005602
118. Grass/Poison: 0.005596
119. Grass/Fighting: 0.005595
120. Dragon/Fairy: 0.005592
121. Ice/Dragon: 0.005589
122. Flying/Psychic: 0.005578
123. Grass/Ice: 0.005558
124. Psychic/Bug: 0.005557
125. Bug/Fairy: 0.005552
126. Electric/Grass: 0.005546
127. Fairy: 0.005545
128. Fire: 0.005538
129. Ghost/Dragon: 0.005535
130. Electric/Dragon: 0.005530
131. Grass/Fairy: 0.005521
132. Steel: 0.005495
133. Normal/Electric: 0.005495
134. Electric/Poison: 0.005486
135. Normal/Steel: 0.005484
136. Normal/Flying: 0.005480
137. Normal/Psychic: 0.005451
138. Flying/Dragon: 0.005415
139. Flying/Bug: 0.005411
140. Poison/Dragon: 0.005407
141. Ice/Bug: 0.005405
142. Psychic/Ghost: 0.005399
143. Rock: 0.005396
144. Bug/Dark: 0.005380
145. Flying: 0.005364
146. Normal/Rock: 0.005356
147. Normal/Ice: 0.005335
148. Fighting: 0.005324
149. Ice: 0.005322
150. Ghost: 0.005298
151. Poison/Bug: 0.005274
152. Grass/Psychic: 0.005243
153. Psychic/Dragon: 0.005226
154. Grass/Dark: 0.005219
155. Bug/Dragon: 0.005217
156. Normal/Bug: 0.005177
157. Normal/Poison: 0.005164
158. Electric: 0.005133
159. Grass/Dragon: 0.005099
160. Normal/Dark: 0.005077
161. Normal/Grass: 0.005076
162. Dragon/Dark: 0.005061
163. Dark: 0.005055
164. Normal/Dragon: 0.004922
165. Psychic: 0.004921
166. Grass/Bug: 0.004883
167. Poison: 0.004795
168. Dragon: 0.004776
169. Normal: 0.004717
170. Bug: 0.004696
171. Grass: 0.004583


3タイプ複合もっと防御重視ランキング

Rank  Type                           Score
--------------------------------------------------
1     Electric/Flying/Steel          0.001394
2     Dragon/Fairy/Steel             0.001375
3     Dragon/Flying/Steel            0.001361
4     Fairy/Steel/Water              0.001336
5     Flying/Ground/Water            0.001334
6     Flying/Ground/Steel            0.001329
7     Bug/Electric/Water             0.001318
8     Bug/Dragon/Steel               0.001304
9     Fighting/Flying/Steel          0.001299
10    Fairy/Flying/Steel             0.00125
11    Fairy/Ghost/Normal             0.001287
12    Bug/Ground/Water               0.001281
13    Dragon/Steel/Water             0.001274
14    Fairy/Ground/Steel             0.001273
15    Ground/Steel/Water             0.001271
16    Fairy/Fighting/Steel           0.001269
17    Bug/Steel/Water                0.001266
18    Grass/Steel/Water              0.001260
19    Dark/Ghost/Poison              0.001257
20    Electric/Flying/Water          0.001255
21    Fire/Ground/Water              0.001250
22    Flying/Poison/Steel            0.001246
23    Dark/Ghost/Steel               0.001244
24    Fire/Grass/Ground              0.001237
25    Fire/Flying/Steel              0.001235
26    Fairy/Steel                    0.001233
27    Dragon/Ground/Steel            0.001231
28    Dark/Poison                    0.001229
29    Flying/Steel                   0.001228
30    Fairy/Ground/Water             0.001228
31    Dark/Poison/Water              0.001227
32    Dark/Ghost/Normal              0.001225
33    Ground/Poison/Water            0.001223
34    Ghost/Normal                   0.001216
35    Dragon/Fairy/Water             0.001216
36    Electric/Fairy/Ghost           0.001214
37    Flying/Steel/Water             0.001214
38    Dark/Flying/Steel              0.001211
39    Ghost/Normal/Steel             0.001209
40    Fighting/Ghost/Steel           0.001209
41    Dark/Fairy/Poison              0.001207
42    Dark/Fairy/Steel               0.001206
43    Fairy/Ghost/Steel              0.001205
44    Flying/Rock/Steel              0.001205
45    Dark/Ghost                     0.001204
46    Fighting/Steel/Water           0.001204
47    Bug/Electric/Ground            0.001203
48    Fire/Grass/Steel               0.001202
49    Dark/Ground/Poison             0.001200
50    Electric/Fairy/Water           0.001199
51    Grass/Poison/Water             0.001195
52    Dark/Fairy/Ghost               0.001192
53    Fighting/Psychic/Steel         0.001191
54    Electric/Fighting/Flying       0.001190
55    Fighting/Normal/Psychic        0.001188
56    Dragon/Steel                   0.001187
57    Dragon/Fire/Water              0.001186
58    Fire/Grass/Water               0.001185
59    Fighting/Ground/Steel          0.001185
60    Electric/Fairy/Ground          0.001185
61    Fairy/Ghost/Water              0.001184
62    Bug/Rock/Water                 0.001184
63    Fairy/Psychic/Steel            0.001183
64    Electric/Flying/Normal         0.001181
65    Fairy/Normal/Steel             0.001181
66    Dragon/Fire/Ground             0.001180
67    Electric/Grass/Water           0.001180
68    Dragon/Fighting/Steel          0.001178
69    Dragon/Ghost/Steel             0.001177
70    Dark/Poison/Psychic            0.001177
71    Electric/Ghost/Normal          0.001175
72    Fairy/Fire/Water               0.001175
73    Electric/Flying                0.001174
74    Fairy/Ghost                    0.001173
75    Grass/Rock/Water               0.001173
76    Electric/Fairy/Normal          0.001173
77    Flying/Normal/Steel            0.001172
78    Fairy/Poison/Water             0.001172
79    Dark/Fighting/Poison           0.001170
80    Fairy/Fire/Ground              0.001168
81    Electric/Flying/Rock           0.001168
82    Flying/Ground/Ice              0.001167
83    Electric/Water                 0.001167
84    Dragon/Fairy/Fire              0.001167
85    Ghost/Steel/Water              0.001166
86    Electric/Fairy                 0.001166
87    Ghost/Ground/Steel             0.001165
88    Dark/Electric/Ghost            0.001162
89    Electric/Flying/Ground         0.001161
90    Electric/Fairy/Flying          0.001159
91    Ground/Ice/Water               0.001159
92    Steel/Water                    0.001158
93    Ground/Steel                   0.001157
94    Fairy/Grass/Steel              0.001155
95    Dragon/Water                   0.001153
96    Electric/Fire/Grass            0.001152
97    Fairy/Normal/Psychic           0.001152
98    Flying/Ghost/Steel             0.001152
99    Dark/Fire/Ghost                0.001152
100   Fighting/Fire/Water            0.001151
101   Fairy/Ground/Normal            0.001150
102   Electric/Fighting/Psychic      0.001150
103   Electric/Ground/Ice            0.001150
104   Bug/Ground/Steel               0.001149
105   Fire/Grass/Rock                0.001149
106   Fairy/Normal/Water             0.001148
107   Ground/Water                   0.001147
108   Fighting/Ghost/Normal          0.001147
109   Fighting/Steel                 0.001146
110   Ghost/Normal/Water             0.001146
111   Fairy/Ground                   0.001146
112   Dark/Electric/Flying           0.001146
113   Fairy/Water                    0.001146
114   Fire/Water                     0.001143
115   Dark/Flying/Poison             0.001143
116   Fairy/Ghost/Ground             0.001142
117   Fairy/Fire/Ghost               0.001139
118   Dragon/Ground/Water            0.001139
119   Ground/Ice/Poison              0.001138
120   Dark/Fairy/Fire                0.001138
121   Bug/Electric/Normal            0.001138
122   Dark/Electric/Fairy            0.001137
123   Fighting/Fire/Psychic          0.001136
124   Fairy/Ground/Poison            0.001135
125   Ghost/Ground/Normal            0.001135
126   Bug/Electric/Rock              0.001135
127   Dark/Fairy/Ground              0.001135
128   Electric/Flying/Poison         0.001134
129   Dark/Ghost/Water               0.001133
130   Dark/Normal/Poison             0.001133
131   Dragon/Poison/Water            0.001133
132   Grass/Ground/Water             0.001132
133   Bug/Fairy/Steel                0.001132
134   Ghost/Grass/Water              0.001130
135   Dragon/Psychic/Steel           0.001129
136   Ground/Psychic/Steel           0.001129
137   Electric                       0.001129
138   Dragon/Ground/Ice              0.001128
139   Dark/Ghost/Ground              0.001127
140   Dragon/Grass/Steel             0.001127
141   Dark/Fire/Water                0.001127
142   Dragon/Electric/Water          0.001127
143   Flying/Psychic/Steel           0.001127
144   Fire/Flying/Ground             0.001126
145   Electric/Fighting/Water        0.001126
146   Bug/Electric/Fairy             0.001126
147   Electric/Ice/Water             0.001125
148   Bug/Rock/Steel                 0.001125
149   Bug/Electric                   0.001125
150   Bug/Fairy/Ground               0.001125
151   Electric/Fighting/Ghost        0.001124
152   Dark/Fairy/Water               0.001123
153   Fairy/Fire/Steel               0.001123
154   Flying/Ground/Normal           0.001123
155   Normal/Poison/Psychic          0.001121
156   Ground/Ice                     0.001121
157   Electric/Fairy/Psychic         0.001121
158   Psychic/Steel/Water            0.001121
159   Fire/Ghost/Grass               0.001121
160   Flying/Ground                  0.001120
161   Ghost/Ground/Ice               0.001119
162   Fire/Grass                     0.001119
163   Electric/Fairy/Steel           0.001119
164   Electric/Fairy/Fighting        0.001118
165   Bug/Fire/Steel                 0.001118
166   Electric/Ground/Water          0.001118
167   Fairy/Ground/Psychic           0.001116
168   Ghost/Grass/Rock               0.001116
169   Fighting/Fire/Ghost            0.001115
170   Bug/Fairy/Water                0.001114
171   Fairy/Normal                   0.001114
172   Fairy/Fighting/Fire            0.001113
173   Ground/Normal/Poison           0.001112
174   Fairy/Flying/Ground            0.001112
175   Normal/Poison/Water            0.001112
176   Electric/Ghost/Water           0.001111
177   Water                          0.001110
178   Bug/Ground/Normal              0.001110
179   Fighting/Fire/Flying           0.001109
180   Electric/Ground                0.001109
181   Poison/Water                   0.001109
182   Electric/Normal/Water          0.001108
183   Ice/Poison/Water               0.001108
184   Fairy/Psychic/Water            0.001108
185   Fighting/Psychic               0.001108
186   Fire/Ground                    0.001107
187   Dragon/Fire                    0.001107
188   Ground/Poison                  0.001106
189   Fairy/Fire/Normal              0.001106
190   Fire/Ghost/Normal              0.001105
191   Dark/Fighting/Fire             0.001105
192   Electric/Fighting/Ice          0.001105
193   Bug/Normal/Water               0.001104
194   Fire/Normal/Water              0.001104
195   Ghost/Steel                    0.001104
196   Fire/Ghost/Water               0.001103
197   Bug/Rock                       0.001103
198   Electric/Flying/Ghost          0.001102
199   Electric/Fighting              0.001102
200   Fairy/Poison/Psychic           0.001101
201   Fighting/Ground/Ice            0.001101
202   Dragon/Fire/Steel              0.001099
203   Dark/Fire/Psychic              0.001099
204   Fighting/Ice/Psychic           0.001099
205   Fairy/Fire                     0.001099
206   Dark/Flying/Ground             0.001098
207   Fire/Grass/Poison              0.001098
208   Grass/Poison/Rock              0.001098
209   Dark/Fairy                     0.001097
210   Fighting/Flying/Rock           0.001097
211   Bug/Water                      0.001097
212   Fairy                          0.001097
213   Fighting/Fire/Ice              0.001097
214   Fire/Ground/Ice                0.001097
215   Dark/Psychic/Steel             0.001097
216   Electric/Fighting/Ground       0.001096
217   Bug/Dark/Poison                0.001096
218   Bug/Fighting/Rock              0.001096
219   Bug/Ground                     0.001096
220   Bug/Ground/Poison              0.001096
221   Fighting/Poison/Psychic        0.001096
222   Flying/Ground/Poison           0.001095
223   Electric/Grass/Rock            0.001095
224   Dragon/Ice/Water               0.001095
225   Fairy/Fighting/Ghost           0.001095
226   Bug/Fire/Ground                0.001093
227   Electric/Steel/Water           0.001093
228   Ground/Normal/Water            0.001093
229   Electric/Fire/Water            0.001092
230   Fairy/Ice/Water                0.001092
231   Fairy/Fighting/Ground          0.001092
232   Fighting/Fire                  0.001091
233   Ground/Poison/Psychic          0.001091
234   Normal                         0.001091
235   Bug/Electric/Fighting          0.001090
236   Ground                         0.001090
237   Bug/Poison/Water               0.001090
238   Dragon/Poison/Steel            0.001090
239   Dark/Fire/Ground               0.001089
240   Ghost/Ice/Water                0.001089
241   Fairy/Fire/Psychic             0.001089
242   Grass/Ground/Steel             0.001089
243   Fire/Psychic/Water             0.001088
244   Fighting/Ghost/Ice             0.001087
245   Normal/Psychic                 0.001087
246   Electric/Ghost/Ground          0.001087
247   Flying/Grass/Steel             0.001086
248   Dragon/Normal/Water            0.001086
249   Electric/Fire/Flying           0.001086
250   Dragon/Ghost/Water             0.001085
251   Fighting/Ice/Water             0.001085
252   Ice/Water                      0.001084
253   Fighting/Psychic/Water         0.001083
254   Dragon/Fighting/Fire           0.001083
255   Ghost/Ground/Water             0.001083
256   Ground/Ice/Psychic             0.001083
257   Ground/Poison/Steel            0.001083
258   Fighting/Ground/Psychic        0.001083
259   Poison/Psychic/Water           0.001083
260   Ghost/Normal/Poison            0.001082
261   Fighting/Ghost                 0.001082
262   Fighting/Ghost/Ground          0.001081
263   Bug/Fighting/Steel             0.001081
264   Electric/Ground/Normal         0.001081
265   Ghost/Ground/Poison            0.001080
266   Fighting/Psychic/Rock          0.001080
267   Fighting/Grass/Rock            0.001080
268   Fairy/Fighting/Water           0.001080
269   Electric/Normal                0.001079
270   Fighting/Ghost/Water           0.001079
271   Fairy/Ghost/Poison             0.001079
272   Dark/Electric/Poison           0.001078
273   Normal/Psychic/Steel           0.001078
274   Fairy/Normal/Poison            0.001078
275   Fire/Grass/Normal              0.001078
276   Dark/Fairy/Psychic             0.001078
277   Fighting/Flying/Psychic        0.001077
278   Electric/Ghost                 0.001076
279   Bug/Ghost/Ground               0.001076
280   Fairy/Ground/Ice               0.001076
281   Poison/Steel/Water             0.001076
282   Ghost/Ground                   0.001075
283   Electric/Flying/Ice            0.001075
284   Dragon/Fairy/Ghost             0.001075
285   Fairy/Psychic                  0.001075
286   Fighting/Flying/Ghost          0.001075
287   Ghost/Ice/Normal               0.001075
288   Ground/Normal                  0.001074
289   Grass/Rock                     0.001074
290   Fighting/Fire/Ground           0.001074
291   Bug/Dragon/Water               0.001073
292   Dragon/Electric/Fairy          0.001073
293   Fire/Normal/Psychic            0.001073
294   Fire/Steel/Water               0.001072
295   Dragon/Fairy/Ground            0.001072
296   Dark/Ghost/Ice                 0.001072
297   Fairy/Fighting/Psychic         0.001071
298   Ghost                          0.001071
299   Electric/Flying/Psychic        0.001071
300   Grass/Water                    0.001070
301   Dragon/Rock/Water              0.001069
302   Fire/Ground/Normal             0.001069
303   Fighting/Ghost/Rock            0.001069
304   Electric/Normal/Psychic        0.001069
305   Ground/Normal/Psychic          0.001068
306   Dark/Fire/Grass                0.001068
307   Fighting/Fire/Steel            0.001068
308   Bug/Electric/Steel             0.001068
309   Ghost/Water                    0.001068
310   Bug/Electric/Ghost             0.001068
311   Electric/Ghost/Ice             0.001067
312   Dark/Flying/Ghost              0.001067
313   Dragon/Flying/Water            0.001067
314   Dragon/Fire/Ghost              0.001066
315   Flying/Ghost/Ground            0.001066
316   Bug/Dark/Ground                0.001066
317   Bug/Ground/Rock                0.001066
318   Electric/Fighting/Normal       0.001066
319   Ghost/Poison/Water             0.001065
320   Flying/Ghost/Normal            0.001065
321   Fighting/Fire/Normal           0.001065
322   Fire/Ghost/Ground              0.001065
323   Steel                          0.001065
324   Dragon/Fire/Grass              0.001064
325   Fairy/Poison                   0.001064
326   Ghost/Normal/Psychic           0.001063
327   Normal/Water                   0.001062
328   Fairy/Grass/Water              0.001062
329   Electric/Fairy/Ice             0.001062
330   Bug/Steel                      0.001062
331   Flying/Grass/Water             0.001062
332   Flying/Rock/Water              0.001062
333   Electric/Ghost/Grass           0.001061
334   Bug/Ghost/Rock                 0.001061
335   Bug/Ghost/Water                0.001061
336   Fairy/Poison/Steel             0.001061
337   Fighting/Flying/Ice            0.001061
338   Dark/Fire                      0.001061
339   Fighting/Flying/Ground         0.001060
340   Dark/Fighting/Ghost            0.001060
341   Dragon/Fire/Normal             0.001060
342   Fairy/Flying/Ghost             0.001059
343   Electric/Ground/Steel          0.001058
344   Bug/Normal/Rock                0.001058
345   Electric/Ice                   0.001057
346   Dark/Grass/Poison              0.001057
347   Electric/Poison/Water          0.001057
348   Dark/Ground/Steel              0.001057
349   Fighting/Flying/Normal         0.001057
350   Electric/Grass/Ground          0.001057
351   Electric/Fighting/Steel        0.001055
352   Normal/Psychic/Water           0.001055
353   Psychic/Steel                  0.001055
354   Dark/Electric/Ground           0.001054
355   Fighting/Ground/Water          0.001053
356   Fighting/Flying                0.001053
357   Fire/Ground/Psychic            0.001051
358   Dragon/Fire/Psychic            0.001051
359   Fairy/Fire/Grass               0.001051
360   Bug/Fire/Water                 0.001050
361   Normal/Poison                  0.001050
362   Dark/Electric/Water            0.001050
363   Flying/Grass/Rock              0.001049
364   Bug/Dark/Electric              0.001049
365   Bug/Dark/Steel                 0.001049
366   Dark/Dragon/Fire               0.001048
367   Dark/Fairy/Normal              0.001048
368   Dark/Dragon/Poison             0.001047
369   Electric/Fighting/Fire         0.001047
370   Electric/Ground/Psychic        0.001047
371   Fire                           0.001047
372   Electric/Psychic/Water         0.001046
373   Fighting/Fire/Grass            0.001046
374   Electric/Grass/Poison          0.001046
375   Dragon/Electric/Steel          0.001046
376   Ghost/Normal/Rock              0.001045
377   Bug/Ground/Psychic             0.001045
378   Fighting/Ground                0.001045
379   Electric/Fire/Ground           0.001045
380   Dark/Flying                    0.001045
381   Dragon/Fairy/Poison            0.001044
382   Fighting/Water                 0.001044
383   Grass/Rock/Steel               0.001044
384   Fire/Ground/Steel              0.001044
385   Bug/Dark/Water                 0.001044
386   Flying/Normal/Water            0.001044
387   Ice/Psychic/Water              0.001044
388   Fairy/Flying/Water             0.001043
389   Flying/Rock                    0.001043
390   Dark/Ice/Poison                0.001043
391   Fairy/Grass/Rock               0.001043
392   Dark/Ghost/Rock                0.001043
393   Flying/Ground/Psychic          0.001043
394   Flying/Normal                  0.001042
395   Dark/Steel/Water               0.001042
396   Fire/Ice/Water                 0.001042
397   Fairy/Fighting/Normal          0.001042
398   Flying/Water                   0.001041
399   Fire/Grass/Psychic             0.001041
400   Fire/Ghost                     0.001041
401   Grass/Ice/Water                0.001041
402   Flying/Poison/Rock             0.001041
403   Ground/Normal/Steel            0.001041
404   Fairy/Rock/Water               0.001040
405   Ghost/Grass/Normal             0.001040
406   Ghost/Grass/Steel              0.001040
407   Fighting/Grass/Steel           0.001040
408   Bug/Dragon/Rock                0.001039
409   Fighting/Ground/Normal         0.001039
410   Poison/Psychic                 0.001037
411   Bug/Electric/Poison            0.001037
412   Bug/Dragon/Electric            0.001037
413   Dragon/Ghost/Normal            0.001037
414   Fairy/Fighting/Flying          0.001036
415   Dark/Fire/Flying               0.001036
416   Grass/Poison/Steel             0.001035
417   Bug/Poison/Rock                0.001035
418   Dark/Poison/Steel              0.001035
419   Bug/Ground/Ice                 0.001035
420   Dark/Ground/Water              0.001035
421   Bug/Psychic/Rock               0.001034
422   Fighting/Ice                   0.001034
423   Dark/Ground                    0.001034
424   Bug/Fairy/Ghost                0.001033
425   Bug/Grass/Rock                 0.001033
426   Dark/Flying/Rock               0.001033
427   Bug/Ghost/Normal               0.001033
428   Flying                         0.001033
429   Dark/Fighting/Steel            0.001032
430   Flying/Ghost/Rock              0.001032
431   Dark/Fairy/Flying              0.001032
432   Fairy/Fighting                 0.001031
433   Grass/Normal/Water             0.001031
434   Bug/Flying/Ground              0.001030
435   Fighting/Poison/Steel          0.001030
436   Fighting/Flying/Water          0.001030
437   Electric/Fairy/Fire            0.001030
438   Electric/Fairy/Poison          0.001029
439   Ground/Psychic/Water           0.001029
